Title,Description,Likes,Comments,Views,URL,Length
7 Days Exploring An Underground City,"This salt mine is the coolest underground city I’ve ever seen
Get Zaxbys MrBeast Box while you still can - Chicken Fingerz™, cheddar bites, fries, double Texas toast, signature sauces, a drink and my FEASTABLES BAR! Available only thru 10/28 at Zaxbys https://www.zaxbys.com/mrbeast 

New Merch - https://mrbeast.store

Check out Viewstats! - https://www.viewstats.com/

SUBSCRIBE OR I TAKE YOUR DOG
╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

For any questions or inquiries regarding this video, please reach out to chucky@mrbeastbusiness.com

----------------------------------------------------------------
follow all of these or i will kick you
• Facebook - https://www.facebook.com/MrBeast6000/
• Twitter - https://twitter.com/MrBeast
•  Instagram - https://www.instagram.com/mrbeast
•  Im Hiring! - https://www.mrbeastjobs.com/
--------------------------------------------------------------------",2561697,24777,74099527,https://www.youtube.com/watch?v=bn0Kh9c4Zv4,0:20:35
"Men Vs Women Survive The Wilderness For $500,000","Some of these strategies were wild!
Wet things clean better than dry things, so ditch the toilet paper and get confidently clean with XL Flushable DUDE Wipes! Try them here, DUDE: https://amazon.com/dudewipes

Contestants featured and their prior experience 

WOMEN: 
• Phaedra: Was on Naked and Afraid
• Julia: Was on Naked and Afraid
• Talia: 10 days in the Everglades 
• Hannah: a weekend camping 
• Izzy: couple days camping

MEN: 
• Joshua: 20 days solo backpacking 
• Patrick: weekend camping 
• Tj: backpacking guide: (15 years of outdoor experience) - a week consecutive outside living off land 
• Cameron: been camping
• Sami: On Survivor: 21 days

New Merch - https://mrbeast.store

Check out Viewstats! - https://www.viewstats.com/

SUBSCRIBE OR I TAKE YOUR DOG
╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

For any questions or inquiries regarding this video, please reach out to chucky@mrbeastbusiness.com

Music Provided by https://www.extrememusic.com

----------------------------------------------------------------
follow all of these or i will kick you
• Facebook - https://www.facebook.com/MrBeast6000/
• Twitter - https://twitter.com/MrBeast
•  Instagram - https://www.instagram.com/mrbeast
•  Im Hiring! - https://www.mrbeastjobs.com/
--------------------------------------------------------------------",3587387,48047,119064843,https://www.youtube.com/watch?v=aRcUVhVlSHg,0:31:47
7 Days Stranded In A Cave,"I didn’t think surviving in a cave would be that challenging
Check out Swarms!  It’s the coolest collectible ever with over 100 different Swarms to collect! It’s a mind-blowingly fun experiment - just mix, shake and reveal your micro beast! Swarms available now. #ad 


New Merch - https://mrbeast.store

Check out Viewstats! - https://www.viewstats.com/

SUBSCRIBE OR I TAKE YOUR DOG
╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

For any questions or inquiries regarding this video, please reach out to chucky@mrbeastbusiness.com

Music Provided by https://www.extrememusic.com

----------------------------------------------------------------
follow all of these or i will kick you
• Facebook - https://www.facebook.com/MrBeast6000/
• Twitter - https://twitter.com/MrBeast
•  Instagram - https://www.instagram.com/mrbeast
•  Im Hiring! - https://www.mrbeastjobs.com/
--------------------------------------------------------------------",4231120,96130,122136852,https://www.youtube.com/watch?v=ndAQfTzlVjc,0:17:58
"Survive 100 Days In Nuclear Bunker, Win $500,000","This video was really fun to make, I hope you enjoy it :) 
Download Monster Hunter Now and take on my hunting challenge together: https://monsterhunternow.onelink.me/O5yC/7gjxcizl
Use code MRBEASTHUNT to get a bundle on me

New Merch - https://mrbeast.store

Check out Viewstats! - https://www.viewstats.com/

SUBSCRIBE OR I TAKE YOUR DOG
╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

For any questions or inquiries regarding this video, please reach out to chucky@mrbeastbusiness.com

Music Provided by https://www.extrememusic.com

----------------------------------------------------------------
follow all of these or i will kick you
• Facebook - https://www.facebook.com/MrBeast6000/
• Twitter - https://twitter.com/MrBeast
•  Instagram - https://www.instagram.com/mrbeast
•  Im Hiring! - https://www.mrbeastjobs.com/
--------------------------------------------------------------------",5361910,85548,200366321,https://www.youtube.com/watch?v=UPrkC1LdlLY,0:32:20
"50 YouTubers Fight For $1,000,000","I can’t believe how intense this video got
The Samsung Galaxy Ring and Z Flip6 blew my mind in this video – you’ve gotta check them out. Head to Amazon to get yours and also see #GalaxyAI in action: https://smsng.us/3LgiqJP

New Merch - https://mrbeast.store

Check out Viewstats! - https://www.viewstats.com/

SUBSCRIBE OR I TAKE YOUR DOG
╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

For any questions or inquiries regarding this video, please reach out to chucky@mrbeastbusiness.com

Music Provided by https://www.extrememusic.com

----------------------------------------------------------------
follow all of these or i will kick you
• Facebook - https://www.facebook.com/MrBeast6000/
• Twitter - https://twitter.com/MrBeast
•  Instagram - https://www.instagram.com/mrbeast
•  Im Hiring! - https://www.mrbeastjobs.com/
--------------------------------------------------------------------

Disclaimers: The heart rate software functions are not intended for use in the diagnosis of disease or other conditions, or in the cure, mitigation, treatment or prevention of disease. The Samsung Galaxy Ring requires a compatible smartphone and Samsung Health app.",8771975,350874,260992579,https://www.youtube.com/watch?v=4SNThp0YiU4,0:41:27
I Built 100 Houses And Gave Them Away!,"Thank you for making this video possible

Techo: https://techo.org/
FFTP: https://foodforthepoor.org/housing-jamaica/
New Story: https://www.newstoryhomes.org/

New Merch - https://mrbeast.store

Check out Viewstats! - https://www.viewstats.com/

SUBSCRIBE OR I TAKE YOUR DOG
╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

For any questions or inquiries regarding this video, please reach out to chucky@mrbeastbusiness.com

Music Provided by https://www.extrememusic.com

----------------------------------------------------------------
follow all of these or i will kick you
• Facebook - https://www.facebook.com/MrBeast6000/
• Twitter - https://twitter.com/MrBeast
•  Instagram - https://www.instagram.com/mrbeast
•  Im Hiring! - https://www.mrbeastjobs.com/
--------------------------------------------------------------------",7177001,290294,137591487,https://www.youtube.com/watch?v=KkCXLABwHP0,0:09:36
World’s Deadliest Obstacle Course!,"The obstacles in this video only get crazier as it goes on… 
Head to Walmart for Cirkul's BIGGEST. DROP. EVER. ⌛️  (while supplies last)  | Wait... who unlocked 🔒 the FLVR LAB Vault?! https://drinkcirkul.com/MrBeast

New Merch - https://mrbeast.store

Check out Viewstats! - https://www.viewstats.com/

SUBSCRIBE OR I TAKE YOUR DOG
╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

For any questions or inquiries regarding this video, please reach out to chucky@mrbeastbusiness.com

Music Provided by https://www.extrememusic.com

----------------------------------------------------------------
follow all of these or i will kick you
• Facebook - https://www.facebook.com/MrBeast6000/
• Twitter - https://twitter.com/MrBeast
•  Instagram - https://www.instagram.com/mrbeast
•  Im Hiring! - https://www.mrbeastjobs.com/
--------------------------------------------------------------------",6051729,149766,225178376,https://www.youtube.com/watch?v=PWirijQkH4M,0:28:25
"$10,000 Every Day You Survive In The Wilderness","They survived longer than I expected lol
Feast like a Beast with Zaxby’s new MrBeast Box, served with 4 Chicken Fingerz™, cheddar bites, fries, double Texas toast, two signature sauces, small drink…and a milk chocolate FEASTABLES BAR! Now available at Zaxby's for a limited time. Order today: https://www.zaxbys.com/mrbeast

Want to check out the Galaxy S24? Head over to Samsung https://smsng.us/MrBS24

Please make sure you have an email address on your profile! 
We will be reaching out from giveaway@mrbeastbusiness.com if you are selected as a winner!

New Merch - https://mrbeast.store

Check out Viewstats! - https://www.viewstats.com/

SUBSCRIBE OR I TAKE YOUR DOG
╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

For any questions or inquiries regarding this video, please reach out to chucky@mrbeastbusiness.com

Music Provided by https://www.extrememusic.com

----------------------------------------------------------------
follow all of these or i will kick you
• Facebook - https://www.facebook.com/MrBeast6000/
• Twitter - https://twitter.com/MrBeast
•  Instagram - https://www.instagram.com/mrbeast
•  Im Hiring! - https://www.mrbeastjobs.com/
--------------------------------------------------------------------",7554063,333341,206864065,https://www.youtube.com/watch?v=U_LlX4t0A9I,0:26:10
"Protect The Yacht, Keep It!","This video did not go how I expected it to
Craft your perfect defense from a combination of powerful Monkey Towers and awesome Heroes, then pop every last invading Bloon! Grab your copy of Bloons TD 6 now - https://ninja.kiwi/mrbeast

Play the Official Fortnite Creative Map For This Video Here:
MrBeast Bed Wars 🛌 - 5948-5884-5269
https://www.fortnite.com/@mrbeast/5948-5884-5269

New Merch - https://mrbeast.store

Check out Viewstats! - https://www.viewstats.com/

SUBSCRIBE OR I TAKE YOUR DOG
╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

For any questions or inquiries regarding this video, please reach out to chucky@mrbeastbusiness.com

Music Provided by https://www.extrememusic.com

----------------------------------------------------------------
follow all of these or i will kick you
• Facebook - https://www.facebook.com/MrBeast6000/
• Twitter - https://twitter.com/MrBeast
•  Instagram - https://www.instagram.com/mrbeast
•  Im Hiring! - https://www.mrbeastjobs.com/
--------------------------------------------------------------------",3953455,83524,129132717,https://www.youtube.com/watch?v=F6PqxbvOCUI,0:15:07
7 Days Stranded On An Island,"I can’t believe we actually did this


Play the Official Fortnite Creative Map For This Video Here:
MrBeast Zombie Island 🏝️ - 4231-6172-1988
https://www.fortnite.com/@mrbeast/4231-6172-1988

New Merch - https://mrbeast.store

Check out Viewstats! - https://www.viewstats.com/

SUBSCRIBE OR I TAKE YOUR DOG
╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

For any questions or inquiries regarding this video, please reach out to chucky@mrbeastbusiness.com

Music Provided by https://www.extrememusic.com

----------------------------------------------------------------
follow all of these or i will kick you
• Facebook - https://www.facebook.com/MrBeast6000/
• Twitter - https://twitter.com/MrBeast
•  Instagram - https://www.instagram.com/mrbeast
•  Im Hiring! - https://www.mrbeastjobs.com/
--------------------------------------------------------------------",6298794,142819,240853917,https://www.youtube.com/watch?v=erLbbextvlY,0:22:26
I Survived 7 Days In An Abandoned City,"This was one of the hardest challenges we’ve ever done
A deal so good it feels like stealing  🤫 - score a FREE double insulated bottle with any 10 cartridge BeastBundle https://drinkcirkul.com/MrBeast or head to your local Walmart today to try Cirkul.

Go subscribe to Mark’s Channel!  @MarkRober   

New Merch - https://mrbeast.store

Check out Viewstats! - https://www.viewstats.com/

SUBSCRIBE OR I TAKE YOUR DOG
╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

For any questions or inquiries regarding this video, please reach out to chucky@mrbeastbusiness.com

Music Provided by https://www.extrememusic.com

----------------------------------------------------------------
follow all of these or i will kick you
• Facebook - https://www.facebook.com/MrBeast6000/
• Twitter - https://twitter.com/MrBeast
•  Instagram - https://www.instagram.com/mrbeast
•  Im Hiring! - https://www.mrbeastjobs.com/
--------------------------------------------------------------------",6021800,200538,222793277,https://www.youtube.com/watch?v=tWYsfOSY9vY,0:17:23
"Protect $500,000 Keep It!","He spent so much money lol
Grow your money with the Mighty Oak debit card from Acorns. Sign up at https://www.acorns.com/mrbeast?s2=mrbeast_youtube to learn how to get a $20 bonus investment. New clients only. Offer ends 12/31/24. Additional terms apply.

New Merch - https://mrbeast.store

Check out Viewstats! - https://www.viewstats.com/

SUBSCRIBE OR I TAKE YOUR DOG
╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝
For any questions or inquiries regarding this video, please reach out to chucky@mrbeastbusiness.com

Music Provided by https://www.extrememusic.com/

----------------------------------------------------------------
follow all of these or i will kick you
• Facebook - https://www.facebook.com/MrBeast6000/
• Twitter - https://twitter.com/MrBeast
•  Instagram - https://www.instagram.com/mrbeast
•  Im Hiring! - https://www.mrbeastjobs.com/
--------------------------------------------------------------------

Compensated non-client promotion. Compensation may create a bias in favor of recommending Acorns.
Banking services provided by and Mighty Oak Debit Cards issued by nbkc bank, Member FDIC. *As of January 13, 2024, Mighty Oak Checking Annual Percentage Yield (APY) is 3.00% and Emergency Fund APY is 5.00%. APY is variable and subject to change. Investment advisory services offered by Acorns Advisers, LLC, an SEC-registered investment adviser.",4541711,71534,149833540,https://www.youtube.com/watch?v=7ESeQBeikKs,0:15:34
"$1 vs $10,000,000 Job!","I can’t believe they actually hired me lol
Try Immortals of Aveum today with a free trial for Playstation 5 and Xbox Series X|S, and a PC demo via Steam. https://bit.ly/3SV7oit #SponsoredByEA #ImmortalsofAveum

 New Merch - https://mrbeast.store

Check out Viewstats! - https://www.viewstats.com/

SUBSCRIBE OR I TAKE YOUR DOG
╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

For any questions or inquiries regarding this video, please reach out to chucky@mrbeastbusiness.com

----------------------------------------------------------------
follow all of these or i will kick you
• Facebook - https://www.facebook.com/MrBeast6000/
• Twitter - https://twitter.com/MrBeast
•  Instagram - https://www.instagram.com/mrbeast
•  Im Hiring! - https://www.mrbeastjobs.com/
--------------------------------------------------------------------

Mr Beast purchased this music license using Lickd. Discover over 1 million mainstream tracks for your YouTube videos at:
https://go.lickd.co/MrBeast5
Track: Welcome To Jurassic Park from Jurassic Park License ID: 67AVXwawl0p
https://lickd.lnk.to/2k70ahf7-Mr.BeastID",4439953,62610,208012973,https://www.youtube.com/watch?v=Wdjh81uH6FU,0:15:39
